name,sec_per_op,CI
Gol/Gol/512x512x1-9-8-8,1.3326126040000001,8%
Gol/Gol/512x512x1-10-8-8,1.3745817375000002,8%
Gol/Gol/512x512x1-11-8-8,1.3146448895,5%
Gol/Gol/512x512x1-12-8-8,1.3272293790000003,5%
Gol/Gol/512x512x1-13-8-8,1.3771389055,14%
Gol/Gol/512x512x1-14-8-8,1.4132794100000001,4%
Gol/Gol/512x512x1-15-8-8,1.327445967,8%
Gol/Gol/512x512x1-16-8-8,1.3444951695,4%
Gol/Gol/512x512x50-1-8-8,1.7771375970000003,27%
Gol/Gol/512x512x50-2-8-8,1.7669274710000002,4%
Gol/Gol/512x512x50-3-8-8,1.7036003895,5%
Gol/Gol/512x512x50-4-8-8,1.7979560300000001,19%
Gol/Gol/512x512x50-5-8-8,1.767450503,16%
Gol/Gol/512x512x50-6-8-8,1.6949479370000002,4%
Gol/Gol/512x512x50-7-8-8,1.8412635405000002,26%
Gol/Gol/512x512x50-8-8-8,1.7803703615000002,5%
Gol/Gol/512x512x50-9-8-8,1.7354520395000002,6%
Gol/Gol/512x512x50-10-8-8,1.8858321755,24%
Gol/Gol/512x512x50-11-8-8,1.797781354,6%
Gol/Gol/512x512x50-12-8-8,1.7357668150000003,6%
Gol/Gol/512x512x50-13-8-8,1.7969421105,5%
Gol/Gol/512x512x50-14-8-8,1.7165739290000002,6%
Gol/Gol/512x512x50-15-8-8,1.8484112585,7%
Gol/Gol/512x512x50-16-8-8,1.8114124805,45%
Gol/Gol/512x512x100-1-8-8,2.188460474,12%
Gol/Gol/512x512x100-2-8-8,2.2984975810000003,4%
Gol/Gol/512x512x100-3-8-8,2.247191282,10%
Gol/Gol/512x512x100-4-8-8,2.2696233395,7%
Gol/Gol/512x512x100-5-8-8,2.2376166305000003,11%
Gol/Gol/512x512x100-6-8-8,2.163885476,16%
Gol/Gol/512x512x100-7-8-8,2.2068219175,5%
Gol/Gol/512x512x100-8-8-8,2.1742487340000003,15%
Gol/Gol/512x512x100-9-8-8,2.205727328,9%
Gol/Gol/512x512x100-10-8-8,2.188338868,17%
Gol/Gol/512x512x100-11-8-8,2.1496909675,4%
Gol/Gol/512x512x100-12-8-8,2.1807737200000004,6%
Gol/Gol/512x512x100-13-8-8,2.2169596910000005,15%
Gol/Gol/512x512x100-14-8-8,2.1417248795,3%
Gol/Gol/512x512x100-15-8-8,2.1350451565000004,4%
Gol/Gol/512x512x100-16-8-8,2.1557740340000002,3%
