name,sec_per_op,CI
Gol/512x512x100-2-8,2.0831875865000002,6%
Gol/512x512x100-3-8,1.7781686995000001,9%
Gol/512x512x100-4-8,1.8135587110000002,6%
Gol/512x512x100-5-8,1.707142572,7%
Gol/512x512x100-6-8,1.6420437845000002,7%
Gol/512x512x100-7-8,1.56087364,9%
Gol/512x512x100-8-8,1.6427630510000002,13%
Gol/512x512x100-9-8,1.7272823750000001,7%
Gol/512x512x100-10-8,1.6868439240000002,15%
Gol/512x512x100-11-8,1.663486453,10%
Gol/512x512x100-12-8,1.6921958355000002,10%
Gol/512x512x100-13-8,1.6793824435000002,8%
Gol/512x512x100-14-8,1.698257214,11%
Gol/512x512x100-15-8,1.6334736075,16%
Gol/512x512x100-16-8,1.6108081685000002,8%
